institution_id,name,survey_year,designation,sanctioned_strength,in_position_direct,in_position_cas,no_of_phd_teachers
316,"Marathwada Agricultural University, Parbhani",2015,Principal,NA,0,0,NA
316,"Marathwada Agricultural University, Parbhani",2015,Professor & Equivalent,NA,10,7,17
316,"Marathwada Agricultural University, Parbhani",2015,Associate Professor,NA,47,62,60
316,"Marathwada Agricultural University, Parbhani",2015,Assistant Professor,NA,94,65,45
316,"Marathwada Agricultural University, Parbhani",2015,ALL,0,151,134,122
379,"Lovely Professional University, Jullunder",2015,Vice-Chancellor,NA,1,0,1
379,"Lovely Professional University, Jullunder",2015,Professor & Equivalent,NA,26,0,19
146,"Nirma University, Ahmedabad",2015,Vice-Chancellor,1,1,0,1
146,"Nirma University, Ahmedabad",2015,ALL,1,1,0,1
627,School of Planning & Architecture Vijaywada,2015,Professor & Equivalent,7,2,0,2
627,School of Planning & Architecture Vijaywada,2015,Associate Professor,14,2,0,2
627,School of Planning & Architecture Vijaywada,2015,Assistant Professor,28,12,0,0
627,School of Planning & Architecture Vijaywada,2015,Director,1,0,0,0
627,School of Planning & Architecture Vijaywada,2015,ALL,50,16,0,4
45,"Yogi Vemana University, Kadapa",2015,ALL,0,99,0,97
45,"Yogi Vemana University, Kadapa",2015,Assistant Professor,NA,77,0,NA
45,"Yogi Vemana University, Kadapa",2015,Reader,NA,0,0,NA
45,"Yogi Vemana University, Kadapa",2015,Professor & Equivalent,NA,12,0,NA
45,"Yogi Vemana University, Kadapa",2015,Associate Professor,NA,10,0,NA
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,ALL,305,305,0,152
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Principal,2,2,0,2
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Vice-Chancellor,1,1,0,1
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Director,2,2,0,2
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Associate Professor,55,55,0,55
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Professor & Equivalent,21,21,0,21
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Lecturer,42,42,0,0
750,"UTTARANCHAL UNIVERSITY, DEHRADUN",2015,Assistant Professor,182,182,0,71
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Director,NA,2,2,4
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Professor & Equivalent,NA,25,1,26
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Associate Professor,NA,27,9,36
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Assistant Professor,NA,126,0,29
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur",2015,Vice-Chancellor,NA,1,0,1
